A	B	C	D	E	F	G	H	I	J
81.024	-26.85808	-23.83321	-19.65049	-16.16665	-13.61496	-10.48115	-8.65657	-5.95705	-2.19557
81.072	-26.8453	-23.83599	-19.52033	-16.02978	-13.49653	-10.83798	-8.67584	-5.92068	-2.28458
81.12	-26.78056	-23.83316	-19.57329	-15.81348	-13.4792	-11.10446	-8.87685	-5.81119	-2.38624
81.168	-26.82755	-23.79475	-19.52908	-15.86547	-13.2667	-11.14023	-8.91248	-5.75707	-2.56149
81.216	-26.81138	-23.69151	-19.58858	-16.02751	-12.62819	-11.25797	-8.97605	-5.68529	-2.73126
81.264	-26.76027	-23.62257	-19.41542	-16.30362	-12.20236	-11.38549	-8.90521	-5.63655	-2.84636
81.312	-26.7415	-23.58967	-19.295	-16.58358	-12.55947	-11.4777	-8.78626	-5.68432	-2.911
81.36	-26.74044	-23.68322	-19.27614	-16.92323	-13.02395	-11.4764	-8.6151	-5.30733	-2.95173
81.408	-26.70332	-23.74211	-19.57792	-16.95654	-13.57173	-11.41625	-8.51042	-4.54312	-2.99658
81.456	-26.66208	-23.81458	-19.83217	-16.97716	-13.91656	-11.21312	-8.28027	-4.58245	-2.93884
81.504	-26.74558	-23.77612	-20.02678	-16.93157	-14.24189	-11.17146	-7.9005	-4.99382	-2.85544
81.552	-26.71347	-23.70166	-20.18024	-16.87916	-14.42236	-11.19	-7.795	-5.19423	-2.87467
81.6	-26.79882	-23.72863	-20.18794	-16.47284	-14.45132	-11.00743	-8.0011	-5.28226	-2.85433
81.648	-26.81893	-23.69925	-20.17478	-16.22953	-14.42162	-10.87315	-8.04961	-5.24835	-2.86906
81.696	-26.851	-23.79267	-20.11157	-16.65865	-14.38812	-10.09902	-8.26637	-5.14191	-2.85595
81.744	-26.91174	-23.82556	-19.57032	-17.09902	-14.33734	-9.97447	-8.38286	-5.33342	-2.81401
81.792	-26.86749	-23.75407	-19.65215	-17.32709	-14.1209	-10.2813	-8.4506	-5.68687	-2.7972
81.84	-26.83251	-23.6342	-19.96529	-17.47648	-13.78084	-10.62896	-8.68599	-5.77829	-2.71754
81.888	-26.84534	-23.67887	-20.19058	-17.53027	-13.39908	-10.89933	-8.83769	-5.90761	-2.72945
81.936	-26.8288	-23.65028	-20.31925	-17.42356	-12.87396	-11.11433	-8.9128	-6.01219	-2.56779
81.984	-26.8623	-23.62294	-20.38922	-17.43005	-13.07056	-11.48024	-8.9793	-6.13934	-2.5094
82.032	-26.91151	-23.67664	-20.09545	-17.19888	-13.40816	-11.6275	-9.02114	-6.09477	-2.70063
82.08	-26.97337	-23.64782	-19.65591	-17.02781	-13.83112	-11.67625	-9.0121	-6.05723	-2.80401
82.128	-27.02647	-23.60737	-19.69775	-16.57617	-14.32598	-11.67995	-9.02327	-6.0361	-2.86888
82.176	-26.95803	-23.63939	-20.18845	-16.28356	-14.51615	-11.65201	-8.98926	-5.94371	-2.92082
82.224	-26.9028	-23.69286	-20.30804	-16.45375	-14.57036	-11.69158	-9.10955	-6.0405	-2.76068
82.272	-26.93111	-23.70444	-20.40993	-17.01233	-14.54548	-11.68528	-9.13081	-6.06442	-2.65999
82.32	-26.91781	-23.63359	-20.44209	-17.35105	-14.50623	-11.71924	-9.01395	-5.93884	-2.52733
82.368	-26.89673	-23.73261	-20.48476	-17.49098	-14.45901	-11.62574	-8.70869	-5.87745	-2.56478
82.416	-26.87597	-23.82445	-20.12937	-17.57749	-14.51888	-11.33405	-8.29394	-5.97457	-2.87856
82.464	-26.86147	-23.84493	-19.76785	-17.65	-14.42802	-11.1489	-8.23713	-6.01034	-3.01447
82.512	-26.87518	-23.78103	-19.87846	-17.64848	-14.40842	-11.17545	-8.4677	-5.90988	-3.04505
82.56	-26.89038	-23.80128	-20.17329	-17.59755	-14.09787	-10.89127	-8.31794	-5.93263	-3.03606
82.608	-26.91892	-23.84377	-20.36689	-17.40609	-13.86332	-10.75652	-8.09359	-5.48081	-3.08522
82.656	-26.93454	-23.85439	-20.37004	-17.18484	-13.56302	-10.56238	-8.18408	-5.21452	-3.07201
82.704	-26.97694	-23.78988	-20.53879	-16.89047	-13.60732	-10.54491	-8.29714	-5.27884	-3.14087
82.752	-26.95817	-23.77696	-20.59625	-16.84728	-13.94441	-10.87862	-8.25798	-5.51265	-3.13253
82.8	-26.91109	-23.88265	-20.47758	-17.07196	-14.17845	-11.13444	-8.26401	-5.58488	-3.17136
82.848	-26.87671	-23.86055	-20.09114	-17.32987	-14.43413	-11.36306	-8.49671	-5.42391	-3.06052
82.896	-26.89849	-23.79577	-20.28631	-17.5931	-14.5496	-11.61017	-8.62849	-5.19066	-3.00483
82.944	-26.89399	-23.72395	-20.53091	-17.66057	-14.63106	-11.65331	-8.85952	-5.36145	-3.10357
82.992	-26.95233	-23.7278	-20.66223	-17.65598	-14.73555	-11.76368	-8.96243	-5.5398	-3.11196
83.04	-26.9882	-23.74758	-20.75485	-17.67915	-14.63347	-11.71642	-9.03249	-5.80832	-3.04773
83.088	-26.9724	-23.71867	-20.81727	-17.74416	-14.61359	-11.73125	-9.07507	-5.92351	-2.98157
83.136	-26.94487	-23.8023	-20.75717	-17.68235	-14.60099	-11.81548	-9.12632	-6.03156	-2.97096
83.184	-26.98588	-23.83831	-20.47814	-17.52138	-14.70344	-11.73018	-9.01071	-6.07146	-2.91002
83.232	-26.99441	-23.8864	-20.25535	-17.05232	-14.63199	-11.80538	-8.95798	-6.15783	-2.80799
83.28	-26.98871	-23.85485	-20.52693	-17.01247	-14.37839	-11.754	-9.04078	-6.1183	-2.74294
83.328	-26.90206	-23.71607	-20.49389	-17.20221	-13.93176	-11.62166	-9.09027	-6.05153	-2.30066
83.376	-26.94269	-23.82408	-20.62076	-17.35475	-13.64086	-11.51968	-9.12947	-5.90585	-2.13223
83.424	-26.92916	-23.90957	-20.67933	-17.51095	-13.5816	-11.21951	-9.09782	-5.97758	-2.45306
83.472	-26.96322	-23.85323	-20.67354	-17.65121	-13.91619	-11.07666	-8.87221	-5.9666	-2.48818
